name,position,team,price_eur,max_price,min_price,status,playerId,remote_player,teamId,remote_team,url,lastMarket_1d,lastMarket_3d,lastMarket_7d,injured,doubt
Hidalgo,entrenador,Deportivo,820000,820000,330000,Disponible,158108,42569,8,6,hidalgo,50000,100000,150000,0,0
Adrián Niño,delantero,Málaga,810000,1400000,520000,molestias en el sóleo,157819,35706,14,65,adrian-nino,0,-10000,-30000,0,0
Diego Rico,defensa,Osasuna,810000,1370000,300000,Disponible,500,5678,15,93,diego-rico,-20000,-50000,-120000,0,0
Nico Guillén,mediocentro,Sevilla,810000,1280000,190000,Disponible,158143,41604,17,17,nico-guillen,-20000,-50000,-90000,0,0
Pedro Díaz,mediocentro,Rayo Vallecano,810000,1140000,560000,Disponible,154474,34483,106,70,pedro-diaz,0,-10000,-20000,0,0
Carlos Maciá,mediocentro,Villarreal,800000,1120000,150000,Disponible,156504,39357,20,19,carlos-macia,-20000,-40000,-80000,0,0
Gijselhart,mediocentro,Deportivo,790000,1430000,500000,Disponible,157814,41090,8,6,gijselhart,-10000,-30000,-50000,0,0
Ramis,entrenador,Osasuna,780000,780000,430000,Disponible,157725,41253,15,93,ramis,10000,30000,60000,0,0
Carmona,defensa,Sevilla,770000,1270000,770000,Disponible,152052,27960,17,17,carmona,-10000,-30000,-50000,0,0
Salinas,defensa,Málaga,750000,1100000,150000,Disponible,155915,37723,14,65,salinas,0,-20000,-40000,0,0
Víctor García,mediocentro,Levante,740000,740000,420000,Disponible,151753,17121,21,10,victor-garcia,0,20000,70000,0,0
Pablo Campos,portero,Levante,700000,1670000,230000,Disponible,156068,37894,21,10,pablo-campos,-10000,-30000,-60000,0,0
Rosier,defensa,Osasuna,700000,2380000,700000,lesión muscular en el bíceps femoral de la pierna derecha,154394,33970,15,93,rosier,-10000,-30000,-50000,1,0
Tete Morente,delantero,Elche,700000,700000,280000,Disponible,16095,22690,162,75,tete-morente,20000,70000,160000,0,0
Aleñá,mediocentro,Alavés,670000,1020000,400000,Disponible,579,10157,3,91,alena,0,-20000,-40000,0,0
Axel Tape,defensa,Levante,670000,780000,670000,Disponible,158248,43207,21,10,axel-tape,-20000,-40000,-80000,0,0
Livakovic,portero,Barcelona,670000,880000,670000,Disponible,156368,38960,5,3,livakovic,-10000,-50000,-110000,0,0
Villares,mediocentro,Deportivo,670000,840000,410000,Disponible,157800,41076,8,6,villares,-20000,-40000,-60000,0,0
Freeman,defensa,Villarreal,660000,910000,450000,Disponible,156526,39901,20,19,freeman,20000,50000,80000,0,0
Johnny,mediocentro,Atlético,660000,1210000,660000,Disponible,153533,32120,4,2,johnny,-10000,-30000,-50000,0,0
